arm,outcome,tier,code,outcome_target_mean,n_items,item,rule_clause,obj_pattern,pred_pattern,item_wording,stimulus_phrase
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_benevolence_2,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_benevolence_3,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_openness_1,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_openness_2,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_openness_3,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_post,full,1.0,1.0,1,t.trust_post,F1,climate scientist,rely on,How much do you trust climate scientists? (0 not at all - 100 very strongly),"to achieve this, climate scientists rely on a wide range of evidence"
Measurement & modeling (1),distrust_post,half,0.5,0.5,1,t.distrust_post,HALF,climate scientist,,How much do you distrust climate scientists?,climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),inst_trust_mean,half,0.5,0.1,5,t.inst_trust_nasa,HALF,\bnasa\b|national aeronautics,,How much do you trust the following institutions? — nasa,"in parallel with reconstructions of past climates, climate scientists continuously monitor the modern atmosphere through a global network of co₂ observatories and satellites like nasa’s oco-2"
Measurement & modeling (1),policy_general,half,0.5,0.5,1,t.policy_general,HALF,regulat,,How much do you oppose or support: 'The U.S. government should do more to reduce global warming',"the intricate web of interactions between the atmosphere, oceans, land surfaces, and living organisms that together regulate the planet’s temperature and weather patterns over time"
Measurement & modeling (1),policy_specific_mean,half,0.5,0.07142857142857142,7,t.policy_specific_7,HALF,ocean,,How much do you support or oppose: — Introducing laws to keep waterways and oceans clean,"the intricate web of interactions between the atmosphere, oceans, land surfaces, and living organisms that together regulate the planet’s temperature and weather patterns over time"
Measurement & modeling (1),behavior_mean,half,0.5,0.08333333333333333,6,t.behavior_transport,HALF,driv,,"How likely are you to engage in the following in the next 12 months? — Walk, bicycle, carpool, or take public transportation more often instead of driving by yourself","by studying these processes, climate scientists are able to identify the mechanisms driving changes in the climate and predict their impact on ecosystems, sea levels, and human societies"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_competence_1,HALF,climate science,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_competence_2,HALF,climate science,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_competence_3,HALF,climate science,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_integrity_1,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_integrity_2,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_integrity_3,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_benevolence_1,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_benevolence_2,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_benevolence_3,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_openness_1,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_openness_2,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_multidimensional,half,0.5,0.5,12,t.trust_openness_3,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,trust_post,half,0.5,0.5,1,t.trust_post,HALF,climate science,,How much do you trust climate scientists? (0 not at all - 100 very strongly),"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,distrust_post,full,1.0,1.0,1,t.distrust_post,F1,climate science,skeptic,How much do you distrust climate scientists?,"science above politics: former skeptics' defense of climate science jennifer rukavina when jennifer rukavina became a television meteorologist, she noticed her colleagues were divided into two camps: believers and nonbel"
Former skeptics,funding_perceptions,half,0.5,0.5,1,t.funding_perceptions,HALF,government,,"Do you think the federal government is spending too much, too little or about the right amount of money on climate change research?","” inglis sees protecting earth’s climate as a conservative priority: “a lot of us conservatives would like to avoid the issue [of climate change], because we assume it means drastic changes and a bigger government"
Former skeptics,policy_role_mean,half,0.5,0.25,4,t.policy_role_1,HALF,policy maker|policymaker|decision maker|policy[- ]making|government,,Climate scientists should work closely with policy makers to integrate scientific results into policy-making,"” inglis sees protecting earth’s climate as a conservative priority: “a lot of us conservatives would like to avoid the issue [of climate change], because we assume it means drastic changes and a bigger government"
Former skeptics,policy_role_mean,half,0.5,0.25,4,t.policy_role_4,HALF,policy[- ]making|policy process|policy makers|government,,Climate scientists should be more involved in the policy-making process,"” inglis sees protecting earth’s climate as a conservative priority: “a lot of us conservatives would like to avoid the issue [of climate change], because we assume it means drastic changes and a bigger government"
Former skeptics,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',"rukavina didn’t know at first which camp she fell into, but she certainly wasn’t “convinced” about climate change"
Former skeptics,concern_mean,half,0.5,0.6666666666666666,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,"rukavina didn’t know at first which camp she fell into, but she certainly wasn’t “convinced” about climate change"
Former skeptics,concern_mean,half,0.5,0.6666666666666666,3,t.concern_2,HALF,climate change,,How serious a problem is climate change?,"rukavina didn’t know at first which camp she fell into, but she certainly wasn’t “convinced” about climate change"
Former skeptics,concern_mean,full,1.0,0.6666666666666666,3,t.concern_3,F1,climate change,priorit,"Relative to other issues facing the U.S., how important is climate change?","” inglis sees protecting earth’s climate as a conservative priority: “a lot of us conservatives would like to avoid the issue [of climate change], because we assume it means drastic changes and a bigger government"
Former skeptics,policy_general,half,0.5,0.5,1,t.policy_general,HALF,congress,,How much do you oppose or support: 'The U.S. government should do more to reduce global warming',"” bob inglis bob inglis was a congressman from one of the most conservative districts in south carolina, one of the reddest states of the nation"
Former skeptics,policy_specific_mean,half,0.5,0.21428571428571427,7,t.policy_specific_1,HALF,fossil fuel,,"How much do you support or oppose: — Raising taxes on fossil fuels (e.g., gas, oil, coal)","they show that the earth's atmosphere has changed, and it's the burning of fossil fuels that has changed it, creating stronger storms and the risk of flooding from higher sea levels"
Former skeptics,policy_specific_mean,full,1.0,0.21428571428571427,7,t.policy_specific_6,F1,\bjobs?\b,creat,How much do you support or oppose: — Investing more in green jobs and businesses,"we can create a new energy future that has lots of jobs and lots of wealth creation, and that lights up the world with more energy, more mobility, [and] more freedom"
High public trust,trust_multidimensional,full,1.0,0.625,12,t.trust_competence_1,F1,climate scientist,accurate,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,full,1.0,0.625,12,t.trust_competence_2,F1,climate scientist,accurate,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,full,1.0,0.625,12,t.trust_competence_3,F1,climate scientist,accurate,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_integrity_1,HALF,climate scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_integrity_2,HALF,climate scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_integrity_3,HALF,climate scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_1,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_2,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_3,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_1,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_2,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_3,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,trust_post,full,1.0,1.0,1,t.trust_post,F1,climate scientist,\btrust\b,How much do you trust climate scientists? (0 not at all - 100 very strongly),please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,distrust_post,full,1.0,1.0,1,t.distrust_post,F1,climate scientist,\btrust\b,How much do you distrust climate scientists?,please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,concern_mean,half,0.5,0.5,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,concern_mean,half,0.5,0.5,3,t.concern_2,HALF,climate change,,How serious a problem is climate change?,please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
High public trust,concern_mean,half,0.5,0.5,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?",please provide your best estimate: what percentage of americans trust climate scientists to provide full and accurate information on climate change
Measurement & modeling (2),trust_multidimensional,full,1.0,0.625,12,t.trust_competence_1,F1,scientist,rigorous,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"this quantitative-scientific methodology ensures that climate science produces rigorous and reliable knowledge that is reproducible by other scientists, and based on empirical data rather than on subjective impressions"
Measurement & modeling (2),trust_multidimensional,full,1.0,0.625,12,t.trust_competence_2,F1,scientist,rigorous,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"this quantitative-scientific methodology ensures that climate science produces rigorous and reliable knowledge that is reproducible by other scientists, and based on empirical data rather than on subjective impressions"
Measurement & modeling (2),trust_multidimensional,full,1.0,0.625,12,t.trust_competence_3,F1,scientist,rigorous,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),"this quantitative-scientific methodology ensures that climate science produces rigorous and reliable knowledge that is reproducible by other scientists, and based on empirical data rather than on subjective impressions"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_integrity_1,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_integrity_2,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_integrity_3,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_1,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_2,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_3,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_openness_1,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_openness_2,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_multidimensional,half,0.5,0.625,12,t.trust_openness_3,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),trust_post,half,0.5,0.5,1,t.trust_post,HALF,climate science,,How much do you trust climate scientists? (0 not at all - 100 very strongly),"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),distrust_post,half,0.5,0.5,1,t.distrust_post,HALF,climate science,,How much do you distrust climate scientists?,"climate science examines long‑term weather patterns, the forces that shape them, and their impact on the environment"
Measurement & modeling (2),policy_specific_mean,half,0.5,0.07142857142857142,7,t.policy_specific_7,HALF,ocean,,How much do you support or oppose: — Introducing laws to keep waterways and oceans clean,"climate scientists are primarily natural scientists with backgrounds in atmospheric physics, geochemistry, oceanography, or biology"
Measurement & modeling (2),behavior_mean,half,0.5,0.08333333333333333,6,t.behavior_transport,HALF,driv,,"How likely are you to engage in the following in the next 12 months? — Walk, bicycle, carpool, or take public transportation more often instead of driving by yourself",the resulting insights help us understand the earth’s climate system and the processes that drive climatic shifts
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_competence_1,HALF,scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_competence_2,HALF,scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,full,1.0,0.5833333333333334,12,t.trust_competence_3,F1,researcher,qualifi|unqualified|credential|phd|degree|expert|training,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),"this means that independent experts, other researchers who are often direct competitors, carefully examine the research to see if it holds up"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_integrity_1,HALF,scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_integrity_2,HALF,scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_integrity_3,HALF,scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_benevolence_1,HALF,scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_benevolence_2,HALF,scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_benevolence_3,HALF,scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,full,1.0,0.5833333333333334,12,t.trust_openness_1,F1,scientist,"open to (feedback|criticism)|welcome.{0,15}(feedback|criticism)|peer[- ]review",How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_openness_2,HALF,scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_openness_3,HALF,scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"before scientists can make their discoveries public, they face one of the toughest tests in any profession: peer review"
Peer-review,trust_post,full,1.0,1.0,1,t.trust_post,F1,climate research,\btrust\b,How much do you trust climate scientists? (0 not at all - 100 very strongly),"when you consider climate research, trust the process"
Peer-review,distrust_post,full,1.0,1.0,1,t.distrust_post,F1,climate research,\btrust\b,How much do you distrust climate scientists?,"when you consider climate research, trust the process"
Peer-review,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',every credible study on climate change has been reviewed by multiple independent experts in the field
Peer-review,concern_mean,half,0.5,0.5,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,every credible study on climate change has been reviewed by multiple independent experts in the field
Peer-review,concern_mean,half,0.5,0.5,3,t.concern_2,HALF,climate change,,How serious a problem is climate change?,every credible study on climate change has been reviewed by multiple independent experts in the field
Peer-review,concern_mean,half,0.5,0.5,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?",every credible study on climate change has been reviewed by multiple independent experts in the field
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_competence_1,HALF,climate science,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_competence_2,HALF,climate science,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,full,1.0,0.5833333333333334,12,t.trust_competence_3,F1,climate scientist,qualifi|unqualified|credential|phd|degree|expert|training,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),climate scientists aren’t outsiders looking in – they are community members using their training to help keep families safe
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_integrity_1,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_integrity_2,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_integrity_3,HALF,climate science,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_benevolence_1,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_benevolence_2,HALF,climate science,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,full,1.0,0.5833333333333334,12,t.trust_benevolence_3,F1,climate scientist,"considerate|others.{0,10}interests|care about",How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"climate scientists are part of our communities: they raise families where we do, face the same risks we face, and work to protect things we all care about"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_openness_1,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_openness_2,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_multidimensional,half,0.5,0.5833333333333334,12,t.trust_openness_3,HALF,climate science,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,trust_post,half,0.5,0.5,1,t.trust_post,HALF,climate science,,How much do you trust climate scientists? (0 not at all - 100 very strongly),"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,distrust_post,half,0.5,0.5,1,t.distrust_post,HALF,climate science,,How much do you distrust climate scientists?,"subtitle: climate science helps people protect what matters most: our families, our nature, and the places we all call home"
Scientist community helpers,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',"they use tools like weather sensors, soil data, and fire-mapping technology to help our communities prepare for climate change and recover from extreme weather events"
Scientist community helpers,concern_mean,half,0.5,0.6666666666666666,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,"they use tools like weather sensors, soil data, and fire-mapping technology to help our communities prepare for climate change and recover from extreme weather events"
Scientist community helpers,concern_mean,full,1.0,0.6666666666666666,3,t.concern_2,F1,climate change,extreme (weather|events),How serious a problem is climate change?,"they use tools like weather sensors, soil data, and fire-mapping technology to help our communities prepare for climate change and recover from extreme weather events"
Scientist community helpers,concern_mean,half,0.5,0.6666666666666666,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?","they use tools like weather sensors, soil data, and fire-mapping technology to help our communities prepare for climate change and recover from extreme weather events"
Scientist community helpers,policy_specific_mean,full,1.0,0.14285714285714285,7,t.policy_specific_4,F1,forest,protect,How much do you support or oppose: — Protecting forested and land areas,"these decisions helped protect schools, retirement homes, and small neighborhoods near forests"
Consensus,trust_multidimensional,full,1.0,0.625,12,t.trust_competence_1,F1,scientist,expertise,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),consensus revisited: quantifying scientific agreement on climate change and climate expertise among earth scientists 10 years later
